Member,Party,Home State,District,Meeting Type,Date,Time,Location,Address
Gary Palmer,Republican,Alabama,AL-06,Town Hall,"Sat, Feb 25, 2017","9:00 AM, EST",Hoover City Hall,"100 Municipal Dr, Hoover, AL 35216"
Ruben Gallego,Democrat,Arizona,AZ-07,Town Hall,"Wed, Feb 22, 2017","6:30 PM, MST",Desert West Community Center,"6501 W Virginia Ave, Phoenix, AZ 85035"
Paul Gosar,Republican,Arizona,AZ-4,Town Hall,"Thu, Feb 23, 2017","6:00 PM, MST",Best Western Hotel,"8333 E Sunrise Sky Dr, Gold Canyon, AZ 85118"
Martha McSally,Republican,Arizona,AZ-2,Town Hall,"Thu, Feb 23, 2017","5:30 PM, MST",St Francis in the Foothills United Methodist Church,"4625 E River Rd, Tucson, AZ 85718"
Paul Gosar,Republican,Arizona,AZ-04,Ticketed Event,"Sat, Mar 11, 2017","6:00 PM, MST",Mazatzal Casino,"Highway 87, Mile Marker 251, Payson, AZ 85541"
Tom Cotton,Republican,Arkansas,Senate,Town Hall,"Wed, Feb 22, 2017","5:00 PM, CST",Arend Arts Center,"1901 SE J St, Bentonville, AR 72712"
Ro Khanna,Democratic,California,CA-17,Town Hall,"Wed, Feb 22, 2017","7:30 PM, PST",Ohlone College,"43600 Mission Blvd, Fremont, CA 94539"
Mark DeSaulnier,Democratic,California,CA-11,Town Hall,"Wed, Feb 22, 2017","6:30 PM, PST",,"935 Detroit Ave, Concord, CA 94518"
Tom McClintock,Republican,California,CA-04,Town Hall,"Wed, Feb 22, 2017","6:00 PM, PST",Sonora High School Auditorium,"430 N Washington St, Sonora, CA 95370"
Ro Khanna,Democrat,California,CA-17,Town Hall,"Wed, Feb 22, 2017","7:30 PM, PST",Ohlone College,"43600 Mission Blvd #7101, Fremont, CA 94539"
Salud Carbajal,Democrat,California,CA-24,Town Hall,"Wed, Feb 22, 2017","6:00 PM, PST",Lucia Mar Unified School District Building,"602 Orchard St, Arroyo Grande, CA 93420"
Mark DeSaulnier,Democratic,California,CA-11,Town Hall,"Thu, Feb 23, 2017","6:30 PM, PST",Diablo Valley College,"321 Golf Club Rd, Pleasant Hill, CA 94523"
Susan Davis,Democrat,California,CA-53,Other,"Thu, Feb 23, 2017","8:30 AM, PST",Parma Payne Goodall Alumni Center at San Diego State University,"5250 55th St, San Diego, CA 92115"
Mark DeSaulnier,Democrat,California,CA-11,Town Hall,"Thu, Feb 23, 2017","6:30 PM, PST",Cafeteria at Diablo Valley College,"321 Golf Club Rd, Pleasant Hill, CA 94523"
Brad Sherman,Democratic,California,CA-30,Open House,"Fri, Feb 24, 2017","3:30 PM, PST",District Office,"6150 Van Nuys Blvd #306, Van Nuys, CA 91401"
Adam Schiff,Democratic,California,CA-28,Town Hall,"Fri, Feb 24, 2017","7:00 PM, PST",Glendale Community College,"1500 N Verdugo Rd, Glendale, CA 91208"
Adam Schiff,Democrat,California,CA-28,Town Hall,"Fri, Feb 24, 2017","7:00 PM, PST",Glendale Community College - Mainstage Theatre/Auditorium,"1500 N Verdugo Rd, Glendale, CA 91208"
Mike Thompson,Democratic,California,CA-05,Town Hall,"Sat, Feb 25, 2017","9:00 AM, PST",Piner High School,"1700 Fulton Rd, Santa Rosa, CA 95403"
Anna Eshoo,Democratic,California,CA-18,Town Hall,"Sat, Mar 4, 2017","10:00 AM, PST",Campbell Heritage Theater,"1 W Campbell Ave, Campbell, CA 95008"
Pete Aguilar,Democratic,California,CA-31,Office Hours,"Tue, Mar 7, 2017","2:00 PM, PST",James L. Brulte Senior Center,"11200 Base Line Rd, Rancho Cucamonga, CA 91701"
Ami Bera,Democratic,California,CA-7,Office Hours,"Tue, Mar 7, 2017","10:00 AM, PST",SPL - Southgate Branch,"6132 66th Ave, Sacramento, CA 95823"
Scott Peters,Democratic,California,CA-52,Town Hall,"Mon, Mar 13, 2017","5:30 PM, PST",TBD,California
Scott Peters,Democrat,California,CA-52,Town Hall,"Mon, Mar 13, 2017","5:15 PM, PST",TBA,"11455 El Camino Real #120, San Diego, CA 92130"
Mike Thompson,Democratic,California,CA-5,Other,"Sat, Apr 1, 2017","6:00 PM, PST",Boatique Winery,"8255 Red Hills Rd, Kelseyville, CA 95451"
Pete Aguilar,Democrat,California,CA-31,Office Hours,"Fri, Apr 7, 2017","2:00 PM, PST",James L. Brulte Senior Center,"11200 Base Line Rd, Rancho Cucamonga, CA 91701"
Mike Thompson,Democratic,California,CA-5,Other,"Sun, Apr 23, 2017","5:00 PM, PST",Dan Foley Cultural Center,"1499 N Camino Alto, Vallejo, CA 94589"
Mike Thompson,Democratic,California,CA-5,Other,"Sun, May 7, 2017","4:30 PM, PST",Wild Oak Saddle Club,"550 White Oak Dr, Santa Rosa, CA 95409"
Barbara Lee,Democratic,California,CA-13,Office Hours,Every first and third Thursday of the month.,"2:00 PM, PST",Fruitvale,"1470 Fruitvale Ave, Oakland, CA 94601"
Barbara Lee,Democratic,California,CA-13,Office Hours,Every first and third Wednesday of the month.,"2:00 PM, PST",Albany Community Center,"1249 Marin Ave, Albany, CA 94706"
Barbara Lee,Democratic,California,CA-13,Office Hours,Every second and fourth Thursday of the month.,"3:00 PM, PST",Alameda - . 2nd Floor Staff Room,"1550 Oak St, Alameda, CA 94501"
Susan Davis,Democratic,California,CA-53,Other,"Wednesday, February 22nd","6:30 PM, PST",Corky McMillin Companies Event Center,"2875 Dewey Rd, San Diego, CA 92106"
Scott Peters,Democratic,California,CA-52,Other,"Wednesday, February 22nd","6:30 PM, PST",Corky McMillin Companies Event Center,"2875 Dewey Rd, San Diego, CA 92106"
Jared Huffman,Democratic,California,CA-02,Tele-Town Hall,,",",Mobile,California
Dianne Feinstein,Democrat,California,Senate,Other,"Fri, Feb 24, 2017","12:00 PM, PST",Bechtel Conference Center at PPIC,"500 Washington St Suite 300, San Francisco, CA 94111"
Nanette Barragan,Democrat,California,CA-44,Town Hall,"Wed, Feb 22, 2017","5:30 PM, PST",Watts Civic Center,"1513 E 103rd St, Los Angeles, CA 90002"
Jackie Speier,Democratic,California,CA-14,Town Hall,"Sat, Feb 25, 2017","10:00 AM, PST",Cabrillo Unified School District Event Center,"530 Kelly Ave, Half Moon Bay, CA 94019"
Ed Perlmutter,Democrat,Colorado,CO-07,Teletown Hall,"Mon, Mar 13, 2017","7:00 PM, MST",,Colorado
Ken Buck,Republican,Colorado,CO-04,Teletown Hall,"Thu, Feb 23, 2017","7:00 PM, MST",,Colorado
Ed Perlmutter,Democrat,Colorado,CO-07,Mobile Office Hours,"Sat, Feb 25, 2017","10:00 AM, MST",Anythink Huron Street Library,"9417 Huron St, Thornton, CO 80260"
Ed Perlmutter,Democrat,Colorado,CO-07,Other,"Fri, Mar 3, 2017","10:00 AM, MST",Margaret Carpenter Recreation Center,"11151 Colorado Blvd, Thornton, CO 80233"
Jared Polis,Democrat,Colorado,CO-02,Town Hall,"Sun, Mar 12, 2017","2:00 PM, MST",TBA,"Northglenn, CO 80233"
Jared Polis,Democrat,Colorado,CO-02,Town Hall,"Sun, Mar 12, 2017","5:00 PM, MST",TBA,"Northglenn, CO 80233"
