,description,google_link,link,name,thumbnail
0,"NYC PARENTS: If you are looking for a way to get involved and support your 
child's education, pay attention to the Community and Citywide Education 
Council ...",http://www.google.com/url?q=https://www.facebook.com/IndivisibleNY/&sa=U&ved=0ahUKEwimwenfsOvSAhVH44MKHTfhA5cQFggUMAA&usg=AFQjCNFTKxWJS4UsOeMVNFoAZa-jhniWIg,https://www.facebook.com/IndivisibleNY/,Indivisible NY | Facebook,
10,"Wed 5:00 PM PDT · 211 W Temple St, Los Angeles, CA 90012-3205, United 
States .... Indivisible Los Angeles updated their info in the about section. Learn 
More.",http://www.google.com/url?q=https://www.facebook.com/indivisibleLosAngeles/&sa=U&ved=0ahUKEwio4o_gsOvSAhVL7YMKHbd9DgEQFggUMAA&usg=AFQjCNH0dgGkbcC6pR2xHWD71MLIme8lUg,https://www.facebook.com/indivisibleLosAngeles/,Indivisible Los Angeles | Facebook,
11,"Fri 11:00 AM PDT · 101 N Las Palmas Ave, Los Angeles, CA 90004, United 
States ... Mark Skidd, Rick Spicer, Indivisible Los Angeles and 20 others like this.",http://www.google.com/url?q=https://www.facebook.com/indivisibleLosAngeles/%3Fhc_ref%3DPAGES_TIMELINE&sa=U&ved=0ahUKEwio4o_gsOvSAhVL7YMKHbd9DgEQFggZMAE&usg=AFQjCNEl-jxHcQZYlxMjaGEOXn3YKOEKCw,https://www.facebook.com/indivisibleLosAngeles/?hc_ref=PAGES_TIMELINE,Indivisible Los Angeles | Facebook,
14,"Senator Dianne Feinstein 11111 Santa Monica Blvd., #915. Los Angeles, CA 
90025 (310) 914-7300 www.feinstein.senate.gov ​@SenFeinstein. Senator ...",http://www.google.com/url?q=http://www.indivisiblelosangeles.com/contact-congress.html&sa=U&ved=0ahUKEwio4o_gsOvSAhVL7YMKHbd9DgEQFggoMAQ&usg=AFQjCNGERCZOTeJyoNQHYG3zwEFUkJa9-A,http://www.indivisiblelosangeles.com/contact-congress.html,Contact Congress - Indivisible​​Los Angeles,
15,"Check the Indivisible Guide's action calendar. ... Events in Los Angeles ... Mon, 
Mar 20, 7pm: CA-25 United for Progress monthly meeting at Vincenzo's Pizza in ...",http://www.google.com/url?q=http://www.indivisiblelosangeles.com/action.html&sa=U&ved=0ahUKEwio4o_gsOvSAhVL7YMKHbd9DgEQFggtMAU&usg=AFQjCNFDTJTROxiT-s8rWbjDWTDrJ9_Ygw,http://www.indivisiblelosangeles.com/action.html,Action - Indivisible​​Los Angeles,
16,"Indivisible Los Angeles is a site for organizing resistance to the Trump agenda in 
the greater Los Angeles area.",http://www.google.com/url?q=http://www.indivisiblelosangeles.com/&sa=U&ved=0ahUKEwio4o_gsOvSAhVL7YMKHbd9DgEQFggyMAY&usg=AFQjCNH3p47rnW95lyPKmswKE9EhhIvtkg,http://www.indivisiblelosangeles.com/,Indivisible​​Los Angeles - Home,
20,"Project InDivisible - Group Moved to SoAct.org We appreciate everyone who has 
subscribed to Project InDivisible.We are moving the group to the Social Actio.",http://www.google.com/url?q=https://www.meetup.com/Project-InDivisible/&sa=U&ved=0ahUKEwjWprHgsOvSAhUEwYMKHVYlDnQQFggUMAA&usg=AFQjCNG5lyddZAz3Ivq_PoKWBqcYRTbswA,https://www.meetup.com/Project-InDivisible/,"Project InDivisible (Chicago, IL) | Meetup",
21,The intent for this group is dedicated to resisting the Trump agenda and ...,http://www.google.com/url?q=https://www.meetup.com/Indivisible-Chicago/&sa=U&ved=0ahUKEwjWprHgsOvSAhUEwYMKHVYlDnQQFggZMAE&usg=AFQjCNFGPLN3Dxy2mwpJbhD_Lff3ZCFEhQ,https://www.meetup.com/Indivisible-Chicago/,"Indivisible Chicago (Chicago, IL) | Meetup",
22,"Indivisible Chicago is helping Indivisible Illinois to phone bank against the repeal 
..... and VPOTUS to release 5 years of tax returns to be placed on the IL ballot.",http://www.google.com/url?q=https://www.facebook.com/IndivisibleChi/&sa=U&ved=0ahUKEwjWprHgsOvSAhUEwYMKHVYlDnQQFggjMAI&usg=AFQjCNHYh3ZfsfJQ_Voshcsy36yZPM72Ug,https://www.facebook.com/IndivisibleChi/,Indivisible Chicago | Facebook,
23,"Welcome to Indivisible Chicago! We are a group of Chicago-area citizens 
alarmed by the 2016 election and committed to resisting the Trump agenda.",http://www.google.com/url?q=https://www.indivisiblechicago.com/&sa=U&ved=0ahUKEwjWprHgsOvSAhUEwYMKHVYlDnQQFggoMAM&usg=AFQjCNFY8_dIWPwf7S4Orgb2G9iGRODNYQ,https://www.indivisiblechicago.com/,Indivisible Chicago,
