title,full_title,firstname,middlename,lastname,name_suffix,nickname,party,state,district,in_office,gender,phone,fax,website,webform,congress_office,bioguide_id,votesmart_id,fec_id,govtrack_id,crp_id,twitter_id,congresspedia_url,youtube_url,facebook_id,official_rss,senate_class,birthdate,oc_email
Rep,Representative,Neil,,Abercrombie,,,D,HI,1,0,M,,,http://www.house.gov/abercrombie,,,A000014,26827,H6HI01121,400001,N00007665,neilabercrombie,http://www.opencongress.org/wiki/Neil_Abercrombie,http://youtube.com/hawaiirep1,,,,6/26/38,
Rep,Representative,Gary,L.,Ackerman,,,D,NY,5,0,M,202-225-2601,202-225-1589,http://ackerman.house.gov/,http://www.house.gov/writerep,2111 Rayburn House Office Building,A000022,26970,H4NY07011,400003,N00001143,repgaryackerman,http://www.opencongress.org/wiki/Gary_Ackerman,http://youtube.com/RepAckerman,RepAcherman,,,11/19/42,
Rep,Representative,Robert,B.,Aderholt,,,R,AL,4,1,M,202-225-4876,,https://aderholt.house.gov,,235 Cannon House Office Building,A000055,441,H6AL04098,400004,N00003028,Robert_Aderholt,http://www.opencongress.org/wiki/Robert_Aderholt,http://youtube.com/RobertAderholt,19787529402,,,7/22/65,Rep.Aderholt@opencongress.org
Sen,Senator,Daniel,Kahikina,Akaka,,,D,HI,Junior Seat,0,M,202-224-6361,202-224-2126,http://akaka.senate.gov,http://www.akaka.senate.gov/email-senator-akaka.cfm,141 Hart Senate Office Building,A000069,53286,S0HI00084,300001,N00007653,,http://www.opencongress.org/wiki/Daniel_Akaka,http://youtube.com/senatorakaka,danielakaka,,I,9/11/24,
Sen,Senator,Wayne,A.,Allard,,,R,CO,Senior Seat,0,M,,,http://allard.senate.gov,,,A000109,26783,S6CO00168,300003,N00009082,,http://www.opencongress.org/wiki/Wayne_Allard,,,,II,12/2/43,
Rep,Representative,Robert,E.,Andrews,,Rob,D,NJ,1,0,M,202-225-6501,,http://andrews.house.gov,http://andrews.house.gov/contact-me/email-me,2265 Rayburn House Office Building,A000210,26949,H0NJ01066,400008,N00000826,,http://www.opencongress.org/wiki/Robert_Andrews,,,,,8/4/57,
Rep,Representative,Thomas,H.,Allen,,Tom,D,ME,1,0,M,,,http://tomallen.house.gov,,,A000357,380,H6ME01157,400007,N00000469,,http://www.opencongress.org/wiki/Thomas_Allen,,,,,4/16/45,
Rep,Representative,W.,Todd,Akin,,,R,MO,2,0,M,202-225-2561,202-225-2563,http://akin.house.gov,http://akin.house.gov/email.shtml,117 Cannon House Office Building,A000358,9301,H0MO02148,400005,N00009677,ToddAkin,http://www.opencongress.org/wiki/W._Todd_Akin,http://youtube.com/RepToddAkin,CongressmanToddAkin,,,7/5/47,
Sen,Senator,Lamar,,Alexander,,,R,TN,Senior Seat,1,M,202-224-4944,202-228-3398,https://www.alexander.senate.gov/public/index.cfm/home,http://www.alexander.senate.gov/public/index.cfm?p=Email,455 Dirksen Senate Office Building,A000360,15691,S2TN00058,300002,N00009888,SenAlexander,http://www.opencongress.org/wiki/Lamar_Alexander,http://youtube.com/lamaralexander,89927603836,,II,7/3/40,Sen.Alexander@opencongress.org
Rep,Representative,Rodney,M.,Alexander,,,R,LA,5,0,M,202-225-8490,202-225-5639,http://alexander.house.gov,https://alexander.house.gov/email-me,316 Cannon House Office Building,A000361,4545,H2LA05084,400006,N00025464,USRepAlexander,http://www.opencongress.org/wiki/Rodney_Alexander,http://youtube.com/RepRodneyMAlexander,20002702544,,,12/5/46,
Rep,Representative,Jason,,Altmire,,,D,PA,4,0,M,202-225-2565,202-226-2274,http://altmire.house.gov,https://forms.house.gov/altmire/webforms/issue_subscribe.htm,332 Cannon House Office Building,A000362,59999,H6PA04110,412231,N00027664,RepJasonAltmire,http://www.opencongress.org/wiki/Jason_Altmire,http://youtube.com/congressmanaltmire,1258677943,,,3/7/68,
Rep,Representative,Michael,A.,Arcuri,,,D,NY,24,0,M,,,http://arcuri.house.gov,,,A000363,67657,H6NY24128,412224,N00027890,,http://www.opencongress.org/wiki/Michael_Arcuri,http://youtube.com/RepArcuri,,,,6/11/59,
Rep,Representative,John,H.,Adler,,,D,NJ,3,0,M,,,http://adler.house.gov,,,A000364,4171,H8NJ03156,412264,N00000812,,http://www.opencongress.org/wiki/John_Adler,,,,,8/23/59,
Rep,Representative,Steve,,Austria,,,R,OH,7,0,M,202-225-4324,202-225-1984,http://austria.house.gov,https://forms.house.gov/austria/contact-form.shtml,439 Cannon House Office Building,A000365,23398,H8OH07065,412265,N00029412,SteveAustria,http://www.opencongress.org/wiki/Steven_Austria,http://youtube.com/CongressmanAustria,1.86083E+14,,,10/12/58,
Rep,Representative,Sandy,,Adams,,,R,FL,24,0,F,202-225-2706,202-226-6299,http://adams.house.gov/,,216 Cannon House Office Building,A000366,31041,H0FL24049,412414,N00030926,RepSandyAdams,http://www.opencongress.org/wiki/Sandy_Adams,http://youtube.com/RepSandyAdams,1.72899E+14,,,12/14/56,
Rep,Representative,Justin,,Amash,,,R,MI,3,1,M,202-225-3831,,http://amash.house.gov,,114 Cannon House Office Building,A000367,105566,H0MI03126,412438,N00031938,,http://www.opencongress.org/wiki/Justin_Amash,http://youtube.com/repjustinamash,1.73604E+14,,,4/18/80,Rep.Amash@opencongress.org
