|,|__City,|__Date,|__District,|__Location,|__Member,|__Notes,|__Party,|__RSVP,|__State,|__StateAb,|__Time,|__Zip,|__address,|__dateChanged,|__dateObj,|__dateString,|__dateValid,|__eventId,|__eventName,|__lastUpdated,|__lastUpdatedHuman,|__lat,|__link,|__linkName,|__lng,|__meetingType,|__rsvpName,|__noLoc,|__repeatingEvent,|__streetAddress,|__timeEnd,|__updatedBy,|__timeEnd24,|__timeStart24,|__timeZone,|__yearMonthDay,|__zoneString
100006,Washington,"Thu, Apr 6, 2017",Senate,"Room 385, Russell Senate Office Building","Bob Casey, Jr.","<p>Senator Casey hosts a coffee for constituents at his office in Washington, DC approximately once a month. If you would like to attend one of these coffees, RSVP online.</p>",Democratic,,Pennsylvania,DC,8:30 AM,20002,"2 Constitution Ave NE, Washington, DC 20002",,1.49E+12,Thu Apr 06 2017,TRUE,100006,,"2017-02-21, 09:00:1",,38.8920348,,,-77.0081508,Coffee,,,,2 Constitution Ave. NE,,,10:30:00,8:30:00,EDT,4/6/2017,America/New_York
100022,Washington,Every Wednesday,Senate,TBD,John Thune,"<p>Sen. John Thune, Sen. Mike Rounds, and Rep. Kristi Noem meet every Wed in D.C. Register here: http://www.noem.house.gov/sunrise-coffee</p>",Republican,,South Dakota,DC,,,South Dakota,,,,,100022,,Fri Mar 31 2017 12:37:52 GMT-0700 (Pacific Daylight Time),,43.9695148,http://www.noem.house.gov/sunrise-coffee,,-99.9018131,Coffee,,TRUE,Every Wednesday,,,portcullis@gmail.com,,,,,
100035,Hondo,"Tue, Apr 4, 2017",TX-23,Hondo Public Library,Will Hurd,,Republican,,Texas,TX,9:00 AM,78861,"1011 19th St, Hondo, TX 78861",,1.49E+12,Tue Apr 04 2017,TRUE,100035,,"2017-02-21, 09:00:1",,29.3492122,,,-99.1058784,Office Hours,,,,1011 19th St,,,11:00:00,9:00:00,CDT,4/4/2017,America/Chicago
100036,Uvalde,"Tue, Apr 4, 2017",TX-23,El Progreso Memorial Library,Will Hurd,,Republican,,Texas,TX,12:00 PM,78801,"301 W Main St, Uvalde, TX 78801",TRUE,1.49E+12,Tue Apr 04 2017,TRUE,100036,,Sun Mar 05 2017 22:01:24 GMT-0800 (PST),,29.2071166,,,-99.7902979,Office Hours,,,,301 W. Main St,,,14:00:00,12:00:00,CDT,4/4/2017,America/Chicago
100037,Brackettville,"Tue, Apr 4, 2017",TX-23,Kinney County Public Library,Will Hurd,,Republican,,Texas,TX,3:00 PM,78832,"510 S Ellen St, Brackettville, TX 78832",,1.49E+12,Tue Apr 04 2017,TRUE,100037,,"2017-02-21, 09:00:1",,29.3101652,,,-100.4167468,Office Hours,,,,510 S. Ellen,5:00 PM,,17:00:00,15:00:00,CDT,4/4/2017,America/Chicago
100038,Crystal City,"Wed, Apr 5, 2017",TX-23,Vida y Salud Community Health Clinic,Will Hurd,,Republican,,Texas,TX,10:00 AM,78839,"308 Cesar Chavez, Crystal City, TX 78839",,1.49E+12,Wed Apr 05 2017,TRUE,100038,,"2017-02-21, 09:00:1",,28.676066,,,-99.824033,Office Hours,,,,308 Cesar Chavez Ave,,,12:00:00,10:00:00,CDT,4/5/2017,America/Chicago
100039,Eagle Pass,"Wed, Apr 5, 2017",TX-23,The Benavides Center (Temporary public library location),Will Hurd,,Republican,,Texas,TX,1:30 PM,78852,"1951 Taft St, Eagle Pass, TX 78852",,1.49E+12,Wed Apr 05 2017,TRUE,100039,,"2017-02-21, 09:00:1",,28.698131,,,-100.490156,Office Hours,,,,1951 Taft Street,,,15:30:00,13:30:00,CDT,4/5/2017,America/Chicago
100040,Carrizo Springs,"Thu, Apr 6, 2017",TX-23,Dimmit County Public Library,Will Hurd,,Republican,,Texas,TX,9:00 AM,78834,"200 N 9th St, Carrizo Springs, TX 78834",,1.49E+12,Thu Apr 06 2017,TRUE,100040,,"2017-02-21, 09:00:1",,28.523908,,,-99.863502,Office Hours,,,,200 North 9th St,,,11:00:00,9:00:00,CDT,4/6/2017,America/Chicago
100041,Presidio,"Thu, Apr 6, 2017",TX-23,Presidio Public Library,Will Hurd,,Republican,,Texas,TX,11:00 AM,79854,"E O'Reilly St, Presidio, TX 79845",,1.49E+12,Thu Apr 06 2017,TRUE,100041,,"2017-02-21, 09:00:1",,29.5607627,,,-104.3563845,Office Hours,,,,2440 O'Reilly St,,,13:00:00,11:00:00,CDT,4/6/2017,America/Chicago
100042,Cotulla,"Thu, Apr 6, 2017",TX-23,El Vaquero Cafe,Will Hurd,,Republican,,Texas,TX,12:00 PM,78104,"155 I-35BL, Cotulla, TX 78014",TRUE,1.49E+12,Thu Apr 06 2017,TRUE,100042,,Sun Mar 05 2017 22:01:43 GMT-0800 (PST),,28.4361186,,,-99.23504,Office Hours,,,,155 North IH 35,,,14:00:00,12:00:00,CDT,4/6/2017,America/Chicago
