city,state,population
New York ,NY,"8,363,710"
Los Angeles ,CA,"3,833,995"
Chicago ,IL,"2,853,114"
Houston ,TX,"2,242,193"
Phoenix ,AZ,"1,567,924"
Philadelphia ,PA,"1,447,395"
San Antonio ,TX,"1,351,305"
Dallas ,TX,"1,279,910"
San Diego ,CA,"1,279,329"
San Jose ,CA,"948,279"
Detroit ,MI,"912,062"
San Francisco ,CA,"808,976"
Jacksonville ,FL,"807,815"
Indianapolis,IN,"798,382"
Austin ,TX,"757,688"
Columbus ,OH,"754,885"
Fort Worth ,TX,"703,073"
Charlotte ,NC,"687,456"
Memphis ,TN,"669,651"
Baltimore ,MD,"636,919"
El Paso ,TX,"613,190"
Boston ,MA,"609,023"
Milwaukee ,WI,"604,477"
Denver ,CO,"598,707"
Seattle ,WA,"598,541"
Nashville,TN,"596,462"
Washington ,DC,"591,833"
Las Vegas ,NV,"558,383"
Portland ,OR,"557,706"
Louisville,KY,"557,224"
Oklahoma City ,OK,"551,789"
Tucson ,AZ,"541,811"
Atlanta ,GA,"537,958"
Albuquerque ,NM,"521,999"
Fresno ,CA,"476,050"
Sacramento ,CA,"463,794"
Long Beach ,CA,"463,789"
Mesa ,AZ,"463,552"
Kansas City ,MO,"451,572"
Omaha ,NE,"438,646"
Cleveland ,OH,"433,748"
Virginia Beach ,VA,"433,746"
Miami ,FL,"413,201"
Oakland ,CA,"404,155"
Raleigh ,NC,"392,552"
Tulsa ,OK,"385,635"
Minneapolis ,MN,"382,605"
Colorado Springs ,CO,"380,307"
Honolulu,HI,"374,676"
Arlington ,TX,"374,417"
Wichita ,KS,"366,046"
St. Louis ,MO,"354,361"
Tampa ,FL,"340,882"
Santa Ana ,CA,"339,130"
Anaheim ,CA,"335,288"
Cincinnati ,OH,"333,336"
Bakersfield ,CA,"321,078"
Aurora ,CO,"319,057"
New Orleans ,LA,"311,853"
Pittsburgh ,PA,"310,037"
Riverside ,CA,"295,357"
Toledo ,OH,"293,201"
Stockton ,CA,"287,037"
Corpus Christi ,TX,"286,462"
Lexington,KY,"282,114"
St. Paul ,MN,"279,590"
Anchorage,AK,"279,243"
Newark ,NJ,"278,980"
Buffalo ,NY,"270,919"
Plano ,TX,"267,480"
Henderson ,NV,"252,064"
Lincoln ,NE,"251,624"
Fort Wayne ,IN,"251,591"
Glendale ,AZ,"251,522"
Greensboro ,NC,"250,642"
Chandler ,AZ,"247,140"
St. Petersburg ,FL,"245,314"
Jersey City ,NJ,"241,114"
Scottsdale ,AZ,"235,371"
Norfolk ,VA,"234,220"
Madison ,WI,"231,916"
Orlando ,FL,"230,519"
Birmingham ,AL,"228,798"
Baton Rouge ,LA,"223,689"
Durham ,NC,"223,284"
Laredo ,TX,"221,659"
Lubbock ,TX,"220,483"
Chesapeake ,VA,"220,111"
Chula Vista ,CA,"219,318"
Garland ,TX,"218,577"
Winston-Salem ,NC,"217,600"
North Las Vegas ,NV,"217,253"
Reno ,NV,"217,016"
Gilbert,AZ,"216,449"
Hialeah ,FL,"210,542"
Arlington,VA,"209,969"
Akron ,OH,"207,510"
Irvine ,CA,"207,500"
Rochester ,NY,"206,886"
Boise City ,ID,"205,314"
Modesto ,CA,"202,967"
Fremont ,CA,"202,867"
Montgomery ,AL,"202,696"
Spokane ,WA,"202,319"
Richmond ,VA,"202,002"
Yonkers ,NY,"201,588"
Irving ,TX,"201,358"
Shreveport ,LA,"199,729"
San Bernardino ,CA,"198,580"
Tacoma ,WA,"197,181"
Glendale ,CA,"197,176"
Des Moines ,IA,"197,052"
Augusta,GA,"194,149"
Grand Rapids ,MI,"193,396"
Huntington Beach ,CA,"192,620"
Mobile ,AL,"191,022"
Moreno Valley ,CA,"190,871"
Little Rock ,AR,"189,515"
Amarillo ,TX,"187,236"
Columbus ,GA,"186,984"
Oxnard ,CA,"185,717"
Fontana ,CA,"184,984"
Knoxville ,TN,"184,802"
Fort Lauderdale ,FL,"183,126"
Salt Lake City ,UT,"181,698"
Newport News ,VA,"179,614"
Huntsville ,AL,"176,645"
Tempe ,AZ,"175,523"
Brownsville ,TX,"175,494"
Worcester ,MA,"175,011"
Fayetteville ,NC,"174,091"
