event_legislator,event_related_party,event_related_state,event_congress_district,event_meeting_type,event_date,event_time,event_description,event_location,event_url
Gary Palmer,Republican,Alabama,AL-06,Town Hall,"Sat, Feb 25, 2017","9:00 AM, EST",,"Hoover City Hall 100 Municipal Dr, Hoover, AL 35216",https://townhallproject.com
Ruben Gallego,Democrat,Arizona,AZ-07,Town Hall,"Wed, Feb 22, 2017","6:30 PM, MST",,"Desert West Community Center 6501 W Virginia Ave, Phoenix, AZ 85035",https://townhallproject.com
Paul Gosar,Republican,Arizona,AZ-4,Town Hall,"Thu, Feb 23, 2017","6:00 PM, MST",,"Best Western Hotel 8333 E Sunrise Sky Dr, Gold Canyon, AZ 85118",https://townhallproject.com
Martha McSally,Republican,Arizona,AZ-2,Town Hall,"Thu, Feb 23, 2017","5:30 PM, MST",,"St Francis in the Foothills United Methodist Church 4625 E River Rd, Tucson, AZ 85718",https://townhallproject.com
Paul Gosar,Republican,Arizona,AZ-04,Ticketed Event,"Sat, Mar 11, 2017","6:00 PM, MST",,"Mazatzal Casino Highway 87, Mile Marker 251, Payson, AZ 85541",https://townhallproject.com
Tom Cotton,Republican,Arkansas,Senate,Town Hall,"Wed, Feb 22, 2017","5:00 PM, CST",,"Arend Arts Center 1901 SE J St, Bentonville, AR 72712",https://townhallproject.com
Ro Khanna,Democratic,California,CA-17,Town Hall,"Wed, Feb 22, 2017","7:30 PM, PST",,"Ohlone College 43600 Mission Blvd, Fremont, CA 94539",https://townhallproject.com
Mark DeSaulnier,Democratic,California,CA-11,Town Hall,"Wed, Feb 22, 2017","6:30 PM, PST",," 935 Detroit Ave, Concord, CA 94518",https://townhallproject.com
Tom McClintock,Republican,California,CA-04,Town Hall,"Wed, Feb 22, 2017","6:00 PM, PST",,"Sonora High School Auditorium 430 N Washington St, Sonora, CA 95370",https://townhallproject.com
Ro Khanna,Democrat,California,CA-17,Town Hall,"Wed, Feb 22, 2017","7:30 PM, PST",,"Ohlone College 43600 Mission Blvd #7101, Fremont, CA 94539",https://townhallproject.com
Salud Carbajal,Democrat,California,CA-24,Town Hall,"Wed, Feb 22, 2017","6:00 PM, PST",,"Lucia Mar Unified School District Building 602 Orchard St, Arroyo Grande, CA 93420",https://townhallproject.com
Mark DeSaulnier,Democratic,California,CA-11,Town Hall,"Thu, Feb 23, 2017","6:30 PM, PST",,"Diablo Valley College 321 Golf Club Rd, Pleasant Hill, CA 94523",https://townhallproject.com
Susan Davis,Democrat,California,CA-53,Other,"Thu, Feb 23, 2017","8:30 AM, PST",,"Parma Payne Goodall Alumni Center at San Diego State University 5250 55th St, San Diego, CA 92115",https://townhallproject.com
Mark DeSaulnier,Democrat,California,CA-11,Town Hall,"Thu, Feb 23, 2017","6:30 PM, PST",,"Cafeteria at Diablo Valley College 321 Golf Club Rd, Pleasant Hill, CA 94523",https://townhallproject.com
Brad Sherman,Democratic,California,CA-30,Open House,"Fri, Feb 24, 2017","3:30 PM, PST",,"District Office 6150 Van Nuys Blvd #306, Van Nuys, CA 91401",https://townhallproject.com
Adam Schiff,Democratic,California,CA-28,Town Hall,"Fri, Feb 24, 2017","7:00 PM, PST",,"Glendale Community College 1500 N Verdugo Rd, Glendale, CA 91208",https://townhallproject.com
Adam Schiff,Democrat,California,CA-28,Town Hall,"Fri, Feb 24, 2017","7:00 PM, PST",,"Glendale Community College - Mainstage Theatre/Auditorium 1500 N Verdugo Rd, Glendale, CA 91208",https://townhallproject.com
Mike Thompson,Democratic,California,CA-05,Town Hall,"Sat, Feb 25, 2017","9:00 AM, PST",,"Piner High School 1700 Fulton Rd, Santa Rosa, CA 95403",https://townhallproject.com
Anna Eshoo,Democratic,California,CA-18,Town Hall,"Sat, Mar 4, 2017","10:00 AM, PST",,"Campbell Heritage Theater 1 W Campbell Ave, Campbell, CA 95008",https://townhallproject.com
Pete Aguilar,Democratic,California,CA-31,Office Hours,"Tue, Mar 7, 2017","2:00 PM, PST",,"James L. Brulte Senior Center 11200 Base Line Rd, Rancho Cucamonga, CA 91701",https://townhallproject.com
Ami Bera,Democratic,California,CA-7,Office Hours,"Tue, Mar 7, 2017","10:00 AM, PST",,"SPL - Southgate Branch 6132 66th Ave, Sacramento, CA 95823",https://townhallproject.com
Scott Peters,Democratic,California,CA-52,Town Hall,"Mon, Mar 13, 2017","5:30 PM, PST",,TBD California,https://townhallproject.com
Scott Peters,Democrat,California,CA-52,Town Hall,"Mon, Mar 13, 2017","5:15 PM, PST",,"TBA 11455 El Camino Real #120, San Diego, CA 92130",https://townhallproject.com
Mike Thompson,Democratic,California,CA-5,Other,"Sat, Apr 1, 2017","6:00 PM, PST",,"Boatique Winery 8255 Red Hills Rd, Kelseyville, CA 95451",https://townhallproject.com
