,org_name,phone,site
0,National Justice For Our Neighbors,703-766-0442,njfon.org
1,World Relief,443-451-1900,www.worldrelief.org
2,Define American,N/A,https://defineamerican.com/
3,National Immigrant Justice Center,312-660-1370,http://www.immigrantjustice.org/
4,United We Dream (UWD),N/A,http://unitedwedream.org/
5,America's Voice,202-463-8602,http://americasvoice.org/
6,The Young Center for Immigrant Children's Rights,202-794-8742,http://theyoungcenter.org/
7,National Day Laborer Organizing Network,213-380-2783,http://www.ndlon.org/
8,Food Chain Workers Alliance,213-380-4060,http://foodchainworkers.org/
9,The TransLatin@ Coalition,213-553-1845,www.translatinacoalition.org 
10,National Association of Latino Elected Officials (NALEO),888-839-8682,www.naleo.org
11,Upwardly Global,212-219-8828,www.upwardlyglobal.org
12,Latino Justice PRLDEF,212-219-3360,http://latinojustice.org/
13,Mexican American Legal Defense and Education Fund (MALDEF),213-629-2512,www.maldef.org
14,Catholic Legal Immigration Network,301-565-4800,www.cliniclegal.org
15,Southwest Key,512-462-2181,http://www.swkey.org/programs/shelters/
16,Undocublack,N/A,http://undocublack.org
17,Black Alliance for Just Immigration,347-410-5312,http://blackalliance.org
18,Cosecha Movement,N/A,http://movimientocosecha.com
19,U.S. Committee for Refugees and Immigrants (USCRI),703-310-1130,refugees.org
20,League of United Latin American Citizens (LULAC),202-833-6130,www.LULAC.org
21,Southeast Asia Resource Action Center (SEARAC),202-601-2968,searac.org
22,Alliance for Citizenship,202-360-7603,www.allianceforcitizenship.org
23,Worker Center Network,N/A,http://www.iwj.org/worker-center-network/locations
24,UNHCR,202-296-5191,http://www.unhcr.org/united-states-of-america.html
25,Center for Popular Democracy (CPD),347-985-2220,https://populardemocracy.org/
26,National Korean American Service & Education Consortium (NAKASEC),703-256-2208,http://nakasec.org/
27,Immigrant Defense Project,212-735-6422,immdefense.org
28,Immigration Equality,212-714-2904,immigrationequality.org
29,Human Rights First,212-845-5200,humanrightsfirst.org
30,Mi Familia Vota,602-263-2030,www.mifamiliavota.org
