,description,google_link,link,name,search,thumbnail
0,"Hosted by Sacramento Indivisible Regional Action Network. InterestedGoing ... 
Hide Map. BodyTribe Fitness. 1106 N D St, # 7, Sacramento, California 95811 ...",http://www.google.com/url?q=https://www.facebook.com/events/781031422061982/&sa=U&ved=0ahUKEwiT0pWEg4nTAhVo1oMKHQ4_AN4QFggUMAA&usg=AFQjCNGlVh7V7K5EagQUdjnDJQCnu002jQ,https://www.facebook.com/events/781031422061982/,Indivisible Sacramento-TRSN Chapter Meeting - Facebook,"Sacramento , CA indivisible",
10,"Indivisible Long Beach CA. 545 likes · 54 talking about this. Standing together 
against Donald J Trump and political extremism in Long Beach, CA. We...",http://www.google.com/url?q=https://www.facebook.com/IndivisibleLongBeachCA/&sa=U&ved=0ahUKEwiOmb-Eg4nTAhUJ3YMKHZwWBzIQFggUMAA&usg=AFQjCNGrewpZhfF4A3QQLxZ6nT9x-q3auw,https://www.facebook.com/IndivisibleLongBeachCA/,Indivisible Long Beach CA - Home | Facebook,"Long Beach , CA indivisible",
11,"Indivisible Long Beach CA. 528 likes · 204 talking about this. Standing together 
against Donald J Trump and political extremism in Long Beach, CA. We...",http://www.google.com/url?q=https://www.facebook.com/IndivisibleLongBeachCA/%3Fhc_ref%3DPAGES_TIMELINE&sa=U&ved=0ahUKEwiOmb-Eg4nTAhUJ3YMKHZwWBzIQFggZMAE&usg=AFQjCNHZ74Qel_c9dfcI1k-arKUWf8JpZQ,https://www.facebook.com/IndivisibleLongBeachCA/?hc_ref=PAGES_TIMELINE,Indivisible Long Beach CA | Facebook,"Long Beach , CA indivisible",
12,"Come on out early Saturday afternoon to strategize alongside your fellow 
Indivisible member as we prepare for the upcoming recess week and learn how 
we will ...",http://www.google.com/url?q=https://www.facebook.com/events/414422212224855/&sa=U&ved=0ahUKEwiOmb-Eg4nTAhUJ3YMKHZwWBzIQFggeMAI&usg=AFQjCNE8darTwTgRzNImITd2aCUj66DDEg,https://www.facebook.com/events/414422212224855/,Indivisible Long Beach CA Strategy Meeting - Facebook,"Long Beach , CA indivisible",
13,"Find Meetups in Long Beach, California about Movements and meet people in 
your local community who ... Indivisible OC 45 Tustin, Orange, Anaheim Hills.",http://www.google.com/url?q=https://www.meetup.com/cities/us/ca/long_beach/movements/&sa=U&ved=0ahUKEwiOmb-Eg4nTAhUJ3YMKHZwWBzIQFggjMAM&usg=AFQjCNE4R4SAS_qMqIdSt6MWVwigDaBZGQ,https://www.meetup.com/cities/us/ca/long_beach/movements/,Movements Meetups in Long Beach - Meetup,"Long Beach , CA indivisible",
14,"Jan 20, 2017 ... I'm in Lakewood and I'm a member of Long Beach TWW. ... The California's 
Nurses Association is hosting a rally organized by Bernie Sanders ...",http://www.google.com/url?q=https://www.meetup.com/Indivisible-Orange-County/events/236772703/&sa=U&ved=0ahUKEwiOmb-Eg4nTAhUJ3YMKHZwWBzIQFggoMAQ&usg=AFQjCNGnfVoOSmVCWyf96nu--efyC8wXTg,https://www.meetup.com/Indivisible-Orange-County/events/236772703/,Review the Indivisible Guide and Discuss - Indivisible Orange ...,"Long Beach , CA indivisible",
15,Indivisible Orange County is a group for those who are interested in working ...,http://www.google.com/url?q=https://www.meetup.com/Indivisible-Orange-County/&sa=U&ved=0ahUKEwiOmb-Eg4nTAhUJ3YMKHZwWBzIQFgguMAU&usg=AFQjCNHGsRVws-dBt9vP7iqFykbs80qJqg,https://www.meetup.com/Indivisible-Orange-County/,"Indivisible Orange County (Huntington Beach, CA) | Meetup","Long Beach , CA indivisible",
17,We intend to send a message and a reminder to the President of the United ...,http://www.google.com/url?q=https://indivisibleca-d39.org/eventsingle/show-us-taxes-march/&sa=U&ved=0ahUKEwiOmb-Eg4nTAhUJ3YMKHZwWBzIQFghAMAc&usg=AFQjCNEEcpLyxIG0Z53jMfBrW4YWZ8sK3g,https://indivisibleca-d39.org/eventsingle/show-us-taxes-march/,Show Us Your Taxes March Long Beach 10 ... - indivisible ca-d39,"Long Beach , CA indivisible",
18,"... (Lowenthal) https://www.facebook.com/groups/200147420453546 CA-48 (
Rohrabacher) https://www.facebook.com/IndivisibleOC48 Indivisible Long Beach
 ...",http://www.google.com/url?q=https://indivisibleca-d39.org/indivisible-neighbors/&sa=U&ved=0ahUKEwiOmb-Eg4nTAhUJ3YMKHZwWBzIQFghIMAg&usg=AFQjCNG249GTt7NOsjnm5lUIsAQvmt8emw,https://indivisibleca-d39.org/indivisible-neighbors/,Indivisible Neighbors - INDIVISIBLE CA-D39,"Long Beach , CA indivisible",
20,"AZ Act Now is providing local action alerts by text - simply text your ..... Indivisible 
Phoenix added 18 new photos to the album: Tuesday with Flake and Franks!",http://www.google.com/url?q=https://www.facebook.com/indivisiblephoenix/&sa=U&ved=0ahUKEwjyvuiEg4nTAhVB04MKHYe9DiwQFggUMAA&usg=AFQjCNFugMXJMr1OFzoXc_vBCqD-vS36Tg,https://www.facebook.com/indivisiblephoenix/,Indivisible Phoenix - Home | Facebook,"Mesa , AZ indivisible",
25,"Indivisible Surprise Citizens Health Care Forum. Tell a friend; Share ... 17540 
Avenue of the Arts, Surprise, AZ (map). 33.643078 -112.304626. *****Caveat: I 
am ...",http://www.google.com/url?q=https://www.meetup.com/Resist-Phoenix/events/238582172/&sa=U&ved=0ahUKEwjyvuiEg4nTAhVB04MKHYe9DiwQFgguMAU&usg=AFQjCNGhuB-LhYr8nYGo4Pg812f5AXsMeA,https://www.meetup.com/Resist-Phoenix/events/238582172/,Indivisible Surprise Citizens Health Care Forum - #Resist: Phoenix ...,"Mesa , AZ indivisible",
26,"Mar 26, 2017 ... Indivisible Phx mtg/'Becoming a PC' info session. Tell a friend ... Arizona 
Democratic Party. 2910 North Central Avenue, Phoenix, AZ (map).",http://www.google.com/url?q=https://www.meetup.com/Resist-Phoenix/events/238606321/&sa=U&ved=0ahUKEwjyvuiEg4nTAhVB04MKHYe9DiwQFggzMAY&usg=AFQjCNFmEsp6gZgB0GpLxp9CoroAqal21A,https://www.meetup.com/Resist-Phoenix/events/238606321/,Indivisible Phx mtg/'Becoming a PC' info session - #Resist: Phoenix ...,"Mesa , AZ indivisible",
27,"... VA · INDIVISIBLE North San Diego County 1,089 Citizen Activists | San Marcos
, CA · The ... Costa Mesa, CA · Prescott Progressives 340 Politicos | Prescott, AZ ...",http://www.google.com/url?q=https://www.meetup.com/topics/grassrootsprog/all/&sa=U&ved=0ahUKEwjyvuiEg4nTAhVB04MKHYe9DiwQFgg5MAc&usg=AFQjCNEaCGLaZlOcEOIr2D8mY-Y9-5MyDQ,https://www.meetup.com/topics/grassrootsprog/all/,All Grassroots Progressives Meetups - Meetup,"Mesa , AZ indivisible",
30,"Welcome to Indivisible Kansas City ... Greater Kansas City will be a model of civic 
engagement, demonstrating the power of ... MO-4 Hartzler: (816) 884-3411",http://www.google.com/url?q=http://www.indivisiblekc.com/&sa=U&ved=0ahUKEwjT356Fg4nTAhVI7oMKHQBzCYsQFggUMAA&usg=AFQjCNFg_TmvAjb5QrrxwKVYNcwQOGkmFg,http://www.indivisiblekc.com/,Indivisible Kansas City - Home,"Kansas City , MO indivisible",
36,"Indivisible KC Week of March 27th - Missouri Menu ... Indivisible KC - MO5 added 
an event. .... Sun 2:30 PM CDT · Eden Alley Cafe · Kansas City, MO.",http://www.google.com/url?q=https://www.facebook.com/IndivisibleMO5/&sa=U&ved=0ahUKEwjT356Fg4nTAhVI7oMKHQBzCYsQFggwMAY&usg=AFQjCNG8u-pr-7F_LK10CYDQMGhC976n-A,https://www.facebook.com/IndivisibleMO5/,Indivisible KC - MO5 - Home | Facebook,"Kansas City , MO indivisible",
37,"Feb 22, 2017 ... Indivisible KC, in partnership with Indivisible LFK, will host a public town hall 
meeting to ask our elected officials protect the Affordable Care Act.",http://www.google.com/url?q=https://www.meetup.com/ResistHateKC/events/237824350/&sa=U&ved=0ahUKEwjT356Fg4nTAhVI7oMKHQBzCYsQFgg1MAc&usg=AFQjCNHfQr0ABm8lIROdHvmjcr4m_pkSpg,https://www.meetup.com/ResistHateKC/events/237824350/,Indivisible KC - Constituent Town Hall (KS) - Resist Hate KC ...,"Kansas City , MO indivisible",
42,"Indivisible Omaha works to beat back the Trump agenda and we understand that 
... March 18 to the album: IO Rally — with Heath Mello in Omaha, Nebraska.",http://www.google.com/url?q=https://www.facebook.com/standindivisibleomaha/&sa=U&ved=0ahUKEwi_mcWFg4nTAhWM8YMKHVKXBqkQFggeMAI&usg=AFQjCNE3dB6Bn89W0MBTdHTI_Boc-CcAwg,https://www.facebook.com/standindivisibleomaha/,Indivisible Omaha - Home | Facebook,"Omaha , NE indivisible",
52,"Cleveland, OH! ... To see more from Indivisible Guide on Facebook, log in or 
create an account. Sign UpLog In. Not Now. English (US) · Español · Português ...",http://www.google.com/url?q=https://www.facebook.com/indivisibleguide/photos/a.198948293902381.1073741828.197760674021143/211020679361809/%3Ftype%3D3&sa=U&ved=0ahUKEwi07OuFg4nTAhVB8IMKHb47BaQQFggiMAI&usg=AFQjCNHC0camPY5wq_SLWjVlsbC3OUh0Jg,https://www.facebook.com/indivisibleguide/photos/a.198948293902381.1073741828.197760674021143/211020679361809/?type=3,"Cleveland, OH! - Indivisible Guide | Facebook","Cleveland , OH indivisible",
53,"Hosted by Indivisible CLE. InterestedGoing ... 325 Superior Ave E, Cleveland, 
Ohio 44114 ... This will be our second Indivisible CLE meeting! We have some ...",http://www.google.com/url?q=https://www.facebook.com/events/237735363352301/&sa=U&ved=0ahUKEwi07OuFg4nTAhVB8IMKHb47BaQQFggnMAM&usg=AFQjCNFpj06e2_sa2W82WNtrgDRu77xvOA,https://www.facebook.com/events/237735363352301/,Indivisible CLE FEB Meeting - Facebook,"Cleveland , OH indivisible",
56,"We are residents of the Columbus, Ohio, area who are committed to resisting the 
... the release of Indivisible: A Practical Guide For Resisting the Trump Agenda.",http://www.google.com/url?q=http://indivisiblecolumbus.com/&sa=U&ved=0ahUKEwi07OuFg4nTAhVB8IMKHb47BaQQFgg4MAY&usg=AFQjCNGLu6HFh062fN5GsUR-MiWA9qNVPw,http://indivisiblecolumbus.com/,"Indivisible Columbus | Resisting the Trump Agenda in Columbus, Ohio","Cleveland , OH indivisible",
57,"The Cleveland and The suburbs of Cleveland action Democrats. ... Action alert 
the Indivisible a practical guild for resisting Trump. Tell a friend ... Cleveland, OH.",http://www.google.com/url?q=https://www.meetup.com/The-Cleveland-and-The-suburbs-of-Cleveland-action-Democrats/events/236953433/&sa=U&ved=0ahUKEwi07OuFg4nTAhVB8IMKHb47BaQQFgg9MAc&usg=AFQjCNEJmxIjjixbYKPfC_fw-em-vONCww,https://www.meetup.com/The-Cleveland-and-The-suburbs-of-Cleveland-action-Democrats/events/236953433/,Action alert the Indivisible a practical guild for resisting Trump - The ...,"Cleveland , OH indivisible",
