,bioguide_id,birthday,chamber,contact_form,crp_id,district,facebook_id,fax,fec_ids,first_name,gender,govtrack_id,icpsr_id,in_office,last_name,leadership_role,lis_id,middle_name,name_suffix,nickname,oc_email,ocd_id,office,other_names,party,phone,senate_class,state,state_name,state_rank,term_end,term_start,thomas_id,title,twitter_id,votesmart_id,website,youtube_id
0,S001202,1953-03-01,senate,None,,None,,None,[u'S8AL00308'],Luther,M,412734,,True,Strange,None,S392,None,None,None,None,ocd-division/country:us/state:al,G-12 Dirksen Senate Office Building,,R,202-224-4124,2,AL,Alabama,junior,2021-01-03,2017-02-09,,Sen,SenatorStrange,,None,
1,C001109,1966-07-28,house,None,N00035504,0,replizcheney,None,[u'H6WY00159'],Liz,F,412732,,True,Cheney,None,,None,None,None,Rep.Cheney@opencongress.org,ocd-division/country:us/state:wy,416 Cannon House Office Building,,R,202-225-2311,,WY,Wyoming,,2019-01-03,2017-01-03,,Rep,RepLizCheney,145932,https://cheney.house.gov,
2,G000579,1984-03-03,house,None,N00039330,8,RepMikeGallagher,None,[u'H6WI08155'],Mike,M,412731,,True,Gallagher,None,,None,None,None,Rep.Gallagher@opencongress.org,ocd-division/country:us/state:wi/cd:8,1007 Longworth House Office Building,,R,202-225-5665,,WI,Wisconsin,,2019-01-03,2017-01-03,,Rep,RepGallagher,171843,https://gallagher.house.gov,
3,J000298,1965-09-21,house,None,N00038858,7,RepJayapal,None,[u'H6WA07458'],Pramila,F,412730,,True,Jayapal,None,,None,None,None,Rep.Jayapal@opencongress.org,ocd-division/country:us/state:wa/cd:7,319 Cannon House Office Building,,D,202-225-3106,,WA,Washington,,2019-01-03,2017-01-03,,Rep,RepJayapal,153141,https://jayapal.house.gov,
4,G000580,1972-03-27,house,None,N00038847,5,congressman-Tom-Garrett-1835767753333490,None,[u'H6VA05142'],Thomas,M,412729,,True,Garrett,None,,None,None,None,Rep.Tomgarrett@opencongress.org,ocd-division/country:us/state:va/cd:5,415 Cannon House Office Building,,R,202-225-4711,,VA,Virginia,,2019-01-03,2017-01-03,,Rep,Rep_Tom_Garrett,134493,https://tomgarrett.house.gov,
5,M001200,1961-10-10,house,None,N00039327,4,RepMcEachin,None,[u'H6VA04061'],A.,M,412728,,True,McEachin,None,,Donald,None,None,Rep.Mceachin@opencongress.org,ocd-division/country:us/state:va/cd:4,314 Cannon House Office Building,,D,202-225-6365,,VA,Virginia,,2019-01-03,2017-01-03,,Rep,RepMcEachin,8230,https://mceachin.house.gov,
6,T000477,1979-06-27,house,None,N00031263,2,,None,[u'H0VA02118'],Scott,M,412727,,True,Taylor,None,,None,None,None,Rep.Taylor@opencongress.org,ocd-division/country:us/state:va/cd:2,412 Cannon House Office Building,,R,202-225-4215,,VA,Virginia,,2019-01-03,2017-01-03,,Rep,,144514,https://taylor.house.gov,
7,A000375,1972-03-09,house,None,N00038285,19,JodeyArrington,None,[u'H6TX19099'],Jodey,M,412726,,True,Arrington,None,,None,None,None,Rep.Arrington@opencongress.org,ocd-division/country:us/state:tx/cd:19,1029 Longworth House Office Building,,R,202-225-4005,,TX,Texas,,2019-01-03,2017-01-03,,Rep,RepArrington,155685,https://arrington.house.gov,
8,G000581,1967-09-04,house,None,N00038809,15,USCongressmanVicenteGonzalez,None,[u'H6TX15162'],Vicente,M,412725,,True,Gonzalez,None,,None,None,None,Rep.Gonzalez@opencongress.org,ocd-division/country:us/state:tx/cd:15,113 Cannon House Office Building,,D,202-225-2531,,TX,Texas,,2019-01-03,2017-01-03,,Rep,RepGonzalez,166483,https://gonzalez.house.gov,
9,K000392,1966-10-08,house,None,N00025445,8,RepDavidKustoff,None,[u'H2TN07103'],David,M,412724,,True,Kustoff,None,,None,None,None,Rep.Kustoff@opencongress.org,ocd-division/country:us/state:tn/cd:8,508 Cannon House Office Building,,R,202-225-4714,,TN,Tennessee,,2019-01-03,2017-01-03,,Rep,repdavidkustoff,48997,https://kustoff.house.gov,
