,org_name
0,Accord Alliance
1,ACT UP
2,Advocates for Informed Choice
3,Affirmation: Gay & Lesbian Mormons
4,Against Equality
5,American Foundation for Equal Rights
6,American Veterans for Equal Rights
7,Athlete Ally
8,Atticus Circle
9,Bash Back!
10,Bialogue
11,BiLaw (page does not exist)
12,BiNet USA
13,Campus Pride
14,"Cheer, Dorothy, Cheer!"
15,Children of Lesbians and Gays Everywhere
16,Consortium of Higher Education LGBT Resource Professionals
17,Daughters of Bilitis
18,Empowering Spirits Foundation
19,Equality Across America
20,Equality Federation
21,Family Equality Council
22,Fight OUT Loud
23,Fine By Me
24,Freedom to Marry
25,Gay & Lesbian Advocates & Defenders
26,Gay and Lesbian Medical Association
27,Gay & Lesbian Victory Fund
28,"Gay, Lesbian and Straight Education Network"
29,Gay Liberation Front
30,Gay Rights National Lobby
31,GenderPAC
32,GetEQUAL
33,GLAAD
34,GLIFAA
35,Global Equality Fund
36,GSA Network
37,Human Rights Campaign
38,Immigration Equality (organization)
39,Integrity USA
40,International Foundation for Gender Education
41,Join the Impact
42,Keshet (organization)
43,LPAC
44,Lambda Legal
45,Lavender Menace
46,Lesbian Avengers
47,Love Makes a Family
48,Marriage Equality USA
49,Mattachine Society
50,Matthew Shepard Foundation
51,National Black Justice Coalition
52,National Center for Lesbian Rights
53,National Center for Transgender Equality
54,National Coalition of Black Lesbians and Gays
55,National Gay & Lesbian Chamber of Commerce
56,National LGBTQ Task Force
57,National Transgender Advocacy Coalition
58,National Youth Advocacy Coalition
59,NOH8 Campaign
60,North American Conference of Homophile Organizations
61,OII-USA
62,ONE National Gay & Lesbian Archives
63,Out & Equal
64,OutServe-SLDN
65,PFLAG
66,Pride at Work
67,Queer Nation
68,RESYST
69,Rainbow Sash
70,Services & Advocacy for GLBT Elders
71,Servicemembers Legal Defense Network
72,Society for Human Rights
73,Soulforce
74,StartOut
75,Sylvia Rivera Law Project
76,Think Again
77,Trans Student Equality Resources
78,Transgender Law Center
79,Truth Wins Out
80,Equality Alabama
81,Center for Artistic Revolution
82,Californians Against Hate
83,Courage Campaign
84,Equality California
85,Los Angeles LGBT Center
86,Love Honor Cherish
87,Marriage Equality California
88,Trikone
89,The Pink Panthers
90,Equality Florida
91,Georgia Equality
92,Equality Hawaii
93,The Civil Rights Agenda
94,Equality Illinois
96,Gay Civil Rights
97,One Iowa
98,Kansas Equality Coalition
99,Simply Equal
100,Fairness Campaign
101,Kentucky Equality Federation
102,Kentucky Fairness Alliance
103,Forum for Equality
104,Louisiana Electorate of Gays And Lesbians
105,EqualityMaine
106,Wilde Stein Alliance for Sexual Diversity
107,Equality Maryland
108,Gender Rights Maryland
109,Maryland Coalition for Trans Equality
110,Harvard Gay & Lesbian Caucus
111,Knowthyneighbor.org
112,Massachusetts Transgender Political Coalition
113,MassEquality
114,Equality Michigan
115,Michigan Equality
116,Michigan Organization for Human Rights
117,Triangle Foundation
118,OutFront Minnesota
119,Equality Mississippi
120,Mississippi Safe Schools Coalition
121,Missourians for Equality
122,Garden State Equality
123,African Ancestral Lesbians United for Societal Change
124,Audre Lorde Project
125,Empire State Pride Agenda
126,Fed Up Queers
127,Gay Activists Alliance
128,New York Area Bisexual Network
129,New Yorkers United for Marriage
130,Sex Panic!
131,Street Transvestite Action Revolutionaries
133,Equality North Carolina
134,North Carolina Religious Coalition for Marriage Equality
135,Ten Percent Society
136,Equality Ohio
137,Cimarron Alliance Foundation
138,Basic Rights Oregon
139,Equality Pennsylvania
140,Tennessee Equality Project
141,Equality Texas
142,Houston GLBT Political Caucus
143,Queer Liberaction
144,Equality Utah
145,Stonewall Shooting Sports of Utah
146,Citizens for Fairness Hands Off Washington
147,Equal Rights Washington
148,Washington Families Standing Together
149,Washington United for Marriage
150,Gay and Lesbian Activists Alliance
151,Equality Wisconsin
163,BiLaw
213,Organization Intersex International USA
236,EQCA (Equality California)
